artist_id,artist_name,popularity
44733,paffendorf,0.47
2510885,emma blackery,0.5
1893854,gucci mane featuring rich homie quan,0.46
2079865,oliver coates,0.48
17954,nara leão,0.47
143695,friendly fires,0.54
564198,r b urban all stars,0.47
595949,joão neto frederico,0.47
3679,betty boo,0.48
3039822,puff daddy the family feat pharrell williams,0.3
61,nelly,0.71
1141574,future hip hop hitmakers,0.48
264093,the magic time travelers,0.51
62826,type o negative,0.56
394004,paul dempsey,0.54
271507,two fingers,0.48
3187899,altercast,0.32
1271324,jonathan mcreynolds,0.56
20022,bobby valentin,0.46
32180,max graham,0.48
359,ian brown,0.55
1524,gallagher and lyle,0.48
14013,pharoah sanders,0.47
99798,ugk underground kingz,0.54
198958,elisabeth rethberg,0.34
3352882,jan jaap van der wal,0.29
6392,charlie,0.49
7528,dennis brown,0.55
52055,big punisher,0.54
87313,the mooney suzuki,0.48
2813361,david reichenberg,0.46
557585,tim berg,0.54
1417758,salute,0.47
346875,dark dark dark,0.47
876833,sleep music academy,0.46
1170329,casey veggies,0.53
8416,fightstar,0.54
934157,les misérables - international cast,0.49
561750,rocío dúrcal,0.56
2925501,lower spectrum,0.47
18047,gene vincent his blue caps,0.48
1519,eddie the hot rods,0.48
2457125,communions,0.46
2075004,justin bieber r kelly,0.48
1015860,classical music radio,0.5
7374,the rockin berries,0.46
353086,frances ruffelle,0.47
481687,instant funk,0.48
125112,the lisa marie experience,0.46
2039286,charlotte devaney,0.54
24703,vas,0.46
25229,lillix,0.46
223321,the creepshow,0.46
42057,ryan rachel o'donnell,0.46
9813,the kids,0.5
8402,herman 's hermits,0.56
83025,michael o'brien,0.47
1960813,brother bear,0.48
452048,chyna whyte,0.46
1056789,the dean 's list,0.47
1300252,techno dance rave trance,0.48
1459029,spa relaxation music feat adham shaikh,0.46
258723,scripture memory songs,0.47
41001,steve vai,0.54
89767,richmond fontaine,0.49
675720,concertgebouw orchestra eduard van beinum hubert barwahser phia berghout,0.48
144743,ohio express,0.48
183479,gold city,0.5
576369,bicep,0.46
496897,dan sultan,0.47
